Theta;I
16.0000;60
16.0200;68
16.0400;64
16.0600;66
16.0800;50
16.1000;48
16.1200;66
16.1400;80
16.1600;56
16.1800;62
16.2000;50
16.2200;62
16.2400;58
16.2600;54
16.2800;60
16.3000;70
16.3200;46
16.3400;64
16.3600;76
16.3800;80
16.4000;74
16.4200;52
16.4400;52
16.4600;58
16.4800;66
16.5000;66
16.5200;60
16.5400;58
16.5600;64
16.5800;54
16.6000;66
16.6200;72
16.6400;90
16.6600;70
16.6800;68
16.7000;72
16.7200;68
16.7400;58
16.7600;68
16.7800;68
16.8000;58
16.8200;64
16.8400;66
16.8600;70
16.8800;66
16.9000;54
16.9200;74
16.9400;76
16.9600;64
16.9800;74
17.0000;62
17.0200;62
17.0400;80
17.0600;78
17.0800;80
17.1000;68
17.1200;66
17.1400;66
17.1600;72
17.1800;68
17.2000;64
17.2200;72
17.2400;48
17.2600;68
17.2800;66
17.3000;84
17.3200;86
17.3400;60
17.3600;66
17.3800;64
17.4000;70
17.4200;92
17.4400;78
17.4600;70
17.4800;86
17.5000;64
17.5200;72
17.5400;70
17.5600;68
17.5800;80
17.6000;70
17.6200;68
17.6400;86
17.6600;80
17.6800;82
17.7000;72
17.7200;66
17.7400;78
17.7600;76
17.7800;54
17.8000;84
17.8200;76
17.8400;98
17.8600;78
17.8800;78
17.9000;76
17.9200;70
17.9400;94
17.9600;78
17.9800;84
18.0000;92
18.0200;68
18.0400;88
18.0600;58
18.0800;76
18.1000;78
18.1200;92
18.1400;90
18.1600;76
18.1800;90
18.2000;76
18.2200;88
18.2400;88
18.2600;92
18.2800;66
18.3000;80
18.3200;80
18.3400;86
18.3600;76
18.3800;96
18.4000;90
18.4200;82
18.4400;78
18.4600;78
18.4800;66
18.5000;92
18.5200;76
18.5400;96
18.5600;74
18.5800;80
18.6000;04
18.6200;96
18.6400;98
18.6600;86
18.6800;90
18.7000;90
18.7200;00
18.7400;86
18.7600;88
18.7800;84
18.8000;88
18.8200;92
18.8400;86
18.8600;00
18.8800;92
18.9000;14
18.9200;92
18.9400;04
18.9600;96
18.9800;98
19.0000;98
19.0200;90
19.0400;04
19.0600;98
19.0800;12
19.1000;98
19.1200;04
19.1400;02
19.1600;08
19.1800;00
19.2000;88
19.2200;90
19.2400;02
19.2600;96
19.2800;90
19.3000;08
19.3200;94
19.3400;80
19.3600;98
19.3800;26
19.4000;00
19.4200;02
19.4400;88
19.4600;24
19.4800;98
19.5000;92
19.5200;04
19.5400;08
19.5600;12
19.5800;98
19.6000;88
19.6200;20
19.6400;00
19.6600;00
19.6800;10
19.7000;14
19.7200;10
19.7400;10
19.7600;10
19.7800;22
19.8000;06
19.8200;04
19.8400;28
19.8600;18
19.8800;06
19.9000;10
19.9200;98
19.9400;08
19.9600;12
19.9800;34
20.0000;16
20.0200;14
20.0400;08
20.0600;22
20.0800;10
20.1000;16
20.1200;16
20.1400;12
20.1600;16
20.1800;28
20.2000;14
20.2200;12
20.2400;04
20.2600;30
20.2800;12
20.3000;12
20.3200;34
20.3400;02
20.3600;20
20.3800;12
20.4000;14
20.4200;30
20.4400;30
20.4600;14
20.4800;20
20.5000;22
20.5200;06
20.5400;24
20.5600;14
20.5800;10
20.6000;30
20.6200;28
20.6400;20
20.6600;90
20.6800;22
20.7000;26
20.7200;96
20.7400;10
20.7600;04
20.7800;12
20.8000;14
20.8200;00
20.8400;14
20.8600;42
20.8800;12
20.9000;08
20.9200;46
20.9400;28
20.9600;18
20.9800;20
21.0000;26
21.0200;08
21.0400;32
21.0600;98
21.0800;06
21.1000;16
21.1200;10
21.1400;18
21.1600;12
21.1800;10
21.2000;26
21.2200;08
21.2400;34
21.2600;14
21.2800;28
21.3000;24
21.3200;32
21.3400;42
21.3600;24
21.3800;16
21.4000;06
21.4200;24
21.4400;16
21.4600;24
21.4800;36
21.5000;24
21.5200;24
21.5400;38
21.5600;26
21.5800;34
21.6000;08
21.6200;42
21.6400;32
21.6600;30
21.6800;42
21.7000;02
21.7200;30
21.7400;26
21.7600;12
21.7800;34
21.8000;14
21.8200;36
21.8400;46
21.8600;16
21.8800;20
21.9000;20
21.9200;08
21.9400;14
21.9600;08
21.9800;34
22.0000;18
22.0200;22
22.0400;24
22.0600;40
22.0800;14
22.1000;12
22.1200;14
22.1400;10
22.1600;04
22.1800;02
22.2000;02
22.2200;18
22.2400;20
22.2600;12
22.2800;16
22.3000;12
22.3200;12
22.3400;02
22.3600;08
22.3800;06
22.4000;16
22.4200;10
22.4400;10
22.4600;98
22.4800;90
22.5000;10
22.5200;22
22.5400;28
22.5600;88
22.5800;98
22.6000;20
22.6200;00
22.6400;02
22.6600;96
22.6800;14
22.7000;18
22.7200;02
22.7400;08
22.7600;90
22.7800;90
22.8000;86
22.8200;92
22.8400;98
22.8600;10
22.8800;14
22.9000;30
22.9200;98
22.9400;18
22.9600;10
22.9800;88
23.0000;92
23.0200;98
23.0400;90
23.0600;18
23.0800;92
23.1000;08
23.1200;90
23.1400;78
23.1600;02
23.1800;86
23.2000;98
23.2200;18
23.2400;08
23.2600;94
23.2800;10
23.3000;86
23.3200;00
23.3400;90
23.3600;18
23.3800;94
23.4000;08
23.4200;06
23.4400;86
23.4600;96
23.4800;96
23.5000;92
23.5200;94
23.5400;82
23.5600;88
23.5800;92
23.6000;82
23.6200;68
23.6400;98
23.6600;92
23.6800;08
23.7000;10
23.7200;94
23.7400;02
23.7600;04
23.7800;88
23.8000;00
23.8200;06
23.8400;96
23.8600;88
23.8800;00
23.9000;98
23.9200;18
23.9400;02
23.9600;94
23.9800;78
24.0000;08
24.0200;88
24.0400;86
24.0600;94
24.0800;00
24.1000;08
24.1200;90
24.1400;82
24.1600;92
24.1800;80
24.2000;96
24.2200;88
24.2400;94
24.2600;70
24.2800;92
24.3000;92
24.3200;86
24.3400;84
24.3600;94
24.3800;84
24.4000;94
24.4200;02
24.4400;02
24.4600;98
24.4800;94
24.5000;00
24.5200;90
24.5400;80
24.5600;74
24.5800;88
24.6000;86
24.6200;96
24.6400;82
24.6600;80
24.6800;86
24.7000;72
24.7200;90
24.7400;96
24.7600;96
24.7800;90
24.8000;80
24.8200;72
24.8400;80
24.8600;06
24.8800;72
24.9000;78
24.9200;88
24.9400;72
24.9600;84
24.9800;74
25.0000;82
25.0200;80
25.0400;82
25.0600;94
25.0800;00
25.1000;70
25.1200;90
25.1400;78
25.1600;84
25.1800;98
25.2000;80
25.2200;78
25.2400;72
25.2600;94
25.2800;70
25.3000;74
25.3200;62
25.3400;80
25.3600;84
25.3800;92
25.4000;82
25.4200;82
25.4400;78
25.4600;80
25.4800;76
25.5000;88
25.5200;70
25.5400;88
25.5600;86
25.5800;00
25.6000;78
25.6200;84
25.6400;70
25.6600;78
25.6800;64
25.7000;78
25.7200;78
25.7400;94
25.7600;62
25.7800;76
25.8000;78
25.8200;82
25.8400;94
25.8600;82
25.8800;82
25.9000;80
25.9200;84
25.9400;96
25.9600;04
25.9800;86
26.0000;94
26.0200;82
26.0400;88
26.0600;82
26.0800;86
26.1000;92
26.1200;96
26.1400;74
26.1600;96
26.1800;82
26.2000;82
26.2200;66
26.2400;64
26.2600;88
26.2800;76
26.3000;72
26.3200;88
26.3400;82
26.3600;02
26.3800;76
26.4000;00
26.4200;72
26.4400;78
26.4600;78
26.4800;88
26.5000;84
26.5200;80
26.5400;84
26.5600;82
26.5800;84
26.6000;64
26.6200;68
26.6400;76
26.6600;84
26.6800;90
26.7000;78
26.7200;86
26.7400;70
26.7600;60
26.7800;90
26.8000;74
26.8200;88
26.8400;66
26.8600;80
26.8800;86
26.9000;70
26.9200;76
26.9400;68
26.9600;68
26.9800;82
27.0000;76
27.0200;82
27.0400;70
27.0600;70
27.0800;76
27.1000;68
27.1200;78
27.1400;74
27.1600;72
27.1800;86
27.2000;80
27.2200;78
27.2400;72
27.2600;88
27.2800;78
27.3000;50
27.3200;70
27.3400;78
27.3600;64
27.3800;82
27.4000;72
27.4200;68
27.4400;68
27.4600;62
27.4800;82
27.5000;76
27.5200;70
27.5400;80
27.5600;74
27.5800;86
27.6000;72
27.6200;78
27.6400;80
27.6600;58
27.6800;68
27.7000;80
27.7200;70
27.7400;78
27.7600;68
27.7800;78
27.8000;78
27.8200;78
27.8400;72
27.8600;62
27.8800;70
27.9000;68
27.9200;78
27.9400;80
27.9600;68
27.9800;84
28.0000;66
28.0200;68
28.0400;68
28.0600;72
28.0800;70
28.1000;82
28.1200;74
28.1400;68
28.1600;78
28.1800;76
28.2000;72
28.2200;76
28.2400;68
28.2600;84
28.2800;80
28.3000;66
28.3200;72
28.3400;62
28.3600;80
28.3800;80
28.4000;76
28.4200;70
28.4400;82
28.4600;68
28.4800;56
28.5000;72
28.5200;68
28.5400;68
28.5600;60
28.5800;76
28.6000;86
28.6200;74
28.6400;66
28.6600;80
28.6800;78
28.7000;72
28.7200;68
28.7400;76
28.7600;62
28.7800;72
28.8000;54
28.8200;78
28.8400;56
28.8600;68
28.8800;70
28.9000;74
28.9200;92
28.9400;62
28.9600;62
28.9800;70
29.0000;80
29.0200;86
29.0400;66
29.0600;66
29.0800;64
29.1000;66
29.1200;72
29.1400;70
29.1600;58
29.1800;72
29.2000;74
29.2200;54
29.2400;72
29.2600;52
29.2800;76
29.3000;76
29.3200;72
29.3400;56
29.3600;66
29.3800;72
29.4000;70
29.4200;68
29.4400;72
29.4600;66
29.4800;64
29.5000;54
29.5200;64
29.5400;56
29.5600;66
29.5800;70
29.6000;60
29.6200;68
29.6400;70
29.6600;66
29.6800;66
29.7000;62
29.7200;72
29.7400;86
29.7600;66
29.7800;70
29.8000;58
29.8200;72
29.8400;58
29.8600;66
29.8800;70
29.9000;74
29.9200;64
29.9400;68
29.9600;66
29.9800;62
30.0000;60
30.0200;64
30.0400;70
30.0600;74
30.0800;64
30.1000;70
30.1200;60
30.1400;70
30.1600;58
30.1800;74
30.2000;68
30.2200;60
30.2400;54
30.2600;68
30.2800;70
30.3000;52
30.3200;74
30.3400;62
30.3600;70
30.3800;64
30.4000;74
30.4200;66
30.4400;54
30.4600;62
30.4800;70
30.5000;62
30.5200;62
30.5400;78
30.5600;72
30.5800;64
30.6000;64
30.6200;54
30.6400;58
30.6600;50
30.6800;68
30.7000;56
30.7200;64
30.7400;64
30.7600;58
30.7800;42
30.8000;72
30.8200;74
30.8400;60
30.8600;60
30.8800;70
30.9000;70
30.9200;52
30.9400;70
30.9600;74
30.9800;70
31.0000;66
31.0200;60
31.0400;54
31.0600;52
31.0800;64
31.1000;66
31.1200;60
31.1400;52
31.1600;60
31.1800;56
31.2000;70
31.2200;72
31.2400;60
31.2600;58
31.2800;58
31.3000;52
31.3200;44
31.3400;68
31.3600;70
31.3800;48
31.4000;88
31.4200;70
31.4400;60
31.4600;64
31.4800;56
31.5000;56
31.5200;52
31.5400;52
31.5600;72
31.5800;74
31.6000;48
31.6200;54
31.6400;62
31.6600;62
31.6800;66
31.7000;54
31.7200;60
31.7400;66
31.7600;64
31.7800;58
31.8000;74
31.8200;52
31.8400;48
31.8600;50
31.8800;54
31.9000;64
31.9200;66
31.9400;68
31.9600;60
31.9800;70
32.0000;54
32.0200;42
32.0400;60
32.0600;52
32.0800;58
32.1000;62
32.1200;64
32.1400;58
32.1600;78
32.1800;62
32.2000;68
32.2200;48
32.2400;56
32.2600;60
32.2800;68
32.3000;62
32.3200;68
32.3400;60
32.3600;60
32.3800;64
32.4000;58
32.4200;68
32.4400;62
32.4600;62
32.4800;52
32.5000;50
32.5200;56
32.5400;52
32.5600;56
32.5800;60
32.6000;52
32.6200;76
32.6400;58
32.6600;54
32.6800;44
32.7000;50
32.7200;50
32.7400;66
32.7600;58
32.7800;56
32.8000;42
32.8200;58
32.8400;54
32.8600;60
32.8800;58
32.9000;58
32.9200;54
32.9400;52
32.9600;58
32.9800;60
33.0000;58
33.0200;58
33.0400;70
33.0600;66
33.0800;66
33.1000;48
33.1200;52
33.1400;56
33.1600;66
33.1800;54
33.2000;54
33.2200;58
33.2400;58
33.2600;62
33.2800;62
33.3000;52
33.3200;62
33.3400;70
33.3600;66
33.3800;52
33.4000;56
33.4200;50
33.4400;62
33.4600;48
33.4800;54
33.5000;64
33.5200;46
33.5400;42
33.5600;50
33.5800;62
33.6000;48
33.6200;58
33.6400;52
33.6600;62
33.6800;54
33.7000;54
33.7200;50
33.7400;62
33.7600;60
33.7800;64
33.8000;48
33.8200;40
33.8400;52
33.8600;52
33.8800;64
33.9000;56
33.9200;54
33.9400;60
33.9600;46
33.9800;52
34.0000;52
34.0200;58
34.0400;54
34.0600;60
34.0800;66
34.1000;58
34.1200;58
34.1400;64
34.1600;58
34.1800;52
34.2000;46
34.2200;76
34.2400;58
34.2600;50
34.2800;50
34.3000;54
34.3200;52
34.3400;50
34.3600;50
34.3800;56
34.4000;58
34.4200;62
34.4400;46
34.4600;62
34.4800;64
34.5000;56
34.5200;48
34.5400;52
34.5600;60
34.5800;48
34.6000;44
34.6200;64
34.6400;44
34.6600;64
34.6800;54
34.7000;62
34.7200;48
34.7400;42
34.7600;36
34.7800;56
34.8000;44
34.8200;54
34.8400;60
34.8600;60
34.8800;48
34.9000;50
34.9200;42
34.9400;54
34.9600;54
34.9800;56
35.0000;62
35.0200;64
35.0400;48
35.0600;62
35.0800;44
35.1000;58
35.1200;50
35.1400;62
35.1600;52
35.1800;58
35.2000;48
35.2200;46
35.2400;40
35.2600;52
35.2800;50
35.3000;46
35.3200;64
35.3400;60
35.3600;44
35.3800;56
35.4000;42
35.4200;48
35.4400;60
35.4600;58
35.4800;56
35.5000;44
35.5200;56
35.5400;50
35.5600;54
35.5800;54
35.6000;56
35.6200;52
35.6400;62
35.6600;52
35.6800;64
35.7000;68
35.7200;58
35.7400;42
35.7600;58
35.7800;48
35.8000;54
35.8200;62
35.8400;60
35.8600;46
35.8800;48
35.9000;50
35.9200;52
35.9400;52
35.9600;48
35.9800;42
36.0000;48
36.0200;48
36.0400;50
36.0600;56
36.0800;36
36.1000;54
36.1200;40
36.1400;44
36.1600;54
36.1800;58
36.2000;40
36.2200;44
36.2400;60
36.2600;48
36.2800;48
36.3000;58
36.3200;50
36.3400;46
36.3600;52
36.3800;54
36.4000;54
36.4200;58
36.4400;62
36.4600;58
36.4800;56
36.5000;70
36.5200;42
36.5400;48
36.5600;44
36.5800;58
36.6000;48
36.6200;50
36.6400;44
36.6600;32
36.6800;56
36.7000;56
36.7200;50
36.7400;40
36.7600;64
36.7800;56
36.8000;48
36.8200;52
36.8400;42
36.8600;66
36.8800;38
36.9000;68
36.9200;50
36.9400;48
36.9600;62
36.9800;50
37.0000;60
37.0200;38
37.0400;36
37.0600;40
37.0800;50
37.1000;32
37.1200;62
37.1400;44
37.1600;60
37.1800;46
37.2000;44
37.2200;44
37.2400;54
37.2600;44
37.2800;52
37.3000;48
37.3200;56
37.3400;38
37.3600;50
37.3800;38
37.4000;48
37.4200;44
37.4400;40
37.4600;46
37.4800;44
37.5000;42
37.5200;52
37.5400;58
37.5600;54
37.5800;38
37.6000;50
37.6200;64
37.6400;56
37.6600;48
37.6800;50
37.7000;60
37.7200;62
37.7400;50
37.7600;42
37.7800;54
37.8000;42
37.8200;40
37.8400;56
37.8600;48
37.8800;54
37.9000;38
37.9200;46
37.9400;48
37.9600;52
37.9800;46
38.0000;46
38.0200;46
38.0400;48
38.0600;46
38.0800;52
38.1000;52
38.1200;48
38.1400;44
38.1600;48
38.1800;64
38.2000;50
38.2200;46
38.2400;50
38.2600;58
38.2800;34
38.3000;46
38.3200;58
38.3400;56
38.3600;60
38.3800;38
38.4000;50
38.4200;44
38.4400;60
38.4600;48
38.4800;62
38.5000;40
38.5200;52
38.5400;50
38.5600;34
38.5800;58
38.6000;48
38.6200;46
38.6400;48
38.6600;48
38.6800;44
38.7000;36
38.7200;56
38.7400;50
38.7600;54
38.7800;44
38.8000;48
38.8200;50
38.8400;42
38.8600;52
38.8800;48
38.9000;52
38.9200;44
38.9400;52
38.9600;34
38.9800;44
39.0000;44
39.0200;56
39.0400;54
39.0600;42
39.0800;42
39.1000;54
39.1200;56
39.1400;54
39.1600;44
39.1800;44
39.2000;50
39.2200;34
39.2400;44
39.2600;54
39.2800;44
39.3000;38
39.3200;42
39.3400;40
39.3600;40
39.3800;38
39.4000;40
39.4200;54
39.4400;46
39.4600;42
39.4800;44
39.5000;44
39.5200;58
39.5400;54
39.5600;44
39.5800;44
39.6000;40
39.6200;50
39.6400;44
39.6600;44
39.6800;48
39.7000;56
39.7200;58
39.7400;50
39.7600;56
39.7800;54
39.8000;46
39.8200;42
39.8400;34
39.8600;50
39.8800;44
39.9000;56
39.9200;34
39.9400;46
39.9600;40
39.9800;50
40.0000;30
40.0200;42
40.0400;50
40.0600;40
40.0800;42
40.1000;48
40.1200;58
40.1400;44
40.1600;44
40.1800;38
40.2000;40
40.2200;38
40.2400;32
40.2600;50
40.2800;46
40.3000;54
40.3200;36
40.3400;50
40.3600;52
40.3800;54
40.4000;44
40.4200;54
40.4400;44
40.4600;42
40.4800;46
40.5000;46
40.5200;42
40.5400;56
40.5600;44
40.5800;46
40.6000;48
40.6200;36
40.6400;44
40.6600;42
40.6800;52
40.7000;36
40.7200;38
40.7400;42
40.7600;36
40.7800;50
40.8000;44
40.8200;40
40.8400;46
40.8600;46
40.8800;56
40.9000;40
40.9200;42
40.9400;56
40.9600;50
40.9800;46
41.0000;46
41.0200;50
41.0400;32
41.0600;46
41.0800;42
41.1000;42
41.1200;42
41.1400;46
41.1600;44
41.1800;56
41.2000;46
41.2200;42
41.2400;46
41.2600;40
41.2800;54
41.3000;40
41.3200;46
41.3400;46
41.3600;34
41.3800;36
41.4000;36
41.4200;38
41.4400;42
41.4600;44
41.4800;46
41.5000;44
41.5200;40
41.5400;48
41.5600;32
41.5800;44
41.6000;58
41.6200;44
41.6400;48
41.6600;46
41.6800;48
41.7000;52
41.7200;50
41.7400;52
41.7600;44
41.7800;52
41.8000;42
41.8200;52
41.8400;42
41.8600;38
41.8800;34
41.9000;46
41.9200;54
41.9400;58
41.9600;52
41.9800;38
42.0000;38
42.0200;52
42.0400;40
42.0600;38
42.0800;32
42.1000;30
42.1200;50
42.1400;48
42.1600;48
42.1800;32
42.2000;46
42.2200;46
42.2400;36
42.2600;58
42.2800;46
42.3000;34
42.3200;46
42.3400;36
42.3600;40
42.3800;52
42.4000;48
42.4200;58
42.4400;44
42.4600;42
42.4800;46
42.5000;32
42.5200;38
42.5400;44
42.5600;30
42.5800;50
42.6000;44
42.6200;52
42.6400;30
42.6600;44
42.6800;36
42.7000;38
42.7200;52
42.7400;40
42.7600;48
42.7800;44
42.8000;46
42.8200;40
42.8400;38
42.8600;38
42.8800;56
42.9000;48
42.9200;36
42.9400;42
42.9600;40
42.9800;38
43.0000;40
43.0200;50
43.0400;40
43.0600;46
43.0800;36
43.1000;40
43.1200;34
43.1400;40
43.1600;34
43.1800;40
43.2000;54
43.2200;48
43.2400;36
43.2600;38
43.2800;52
43.3000;44
43.3200;36
43.3400;38
43.3600;44
43.3800;46
43.4000;46
43.4200;38
43.4400;44
43.4600;38
43.4800;28
43.5000;32
43.5200;44
43.5400;38
43.5600;36
43.5800;38
43.6000;36
43.6200;30
43.6400;36
43.6600;48
43.6800;46
43.7000;46
43.7200;42
43.7400;36
43.7600;50
43.7800;44
43.8000;48
43.8200;26
43.8400;42
43.8600;38
43.8800;36
43.9000;38
43.9200;40
43.9400;42
43.9600;42
43.9800;38
44.0000;32
44.0200;52
44.0400;48
44.0600;28
44.0800;32
44.1000;44
44.1200;38
44.1400;56
44.1600;34
44.1800;32
44.2000;40
44.2200;34
44.2400;28
44.2600;44
44.2800;46
44.3000;32
44.3200;46
44.3400;28
44.3600;42
44.3800;52
44.4000;48
44.4200;40
44.4400;32
44.4600;40
44.4800;44
44.5000;30
44.5200;28
44.5400;42
44.5600;38
44.5800;34
44.6000;32
44.6200;42
44.6400;32
44.6600;40
44.6800;46
44.7000;38
44.7200;42
44.7400;42
44.7600;44
44.7800;50
44.8000;48
44.8200;54
44.8400;42
44.8600;40
44.8800;40
44.9000;44
44.9200;42
44.9400;38
44.9600;40
44.9800;38
45.0000;4
